Model;RAM;HDD;Location;Price
Dell R9304x Intel Xeon E7-4850v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€1069.99
Dell R9304x Intel Xeon E7-4820v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€781.99
Dell R9304x Intel Xeon E7-4830v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€899.99
HP DL120G7Intel G850;4GBDDR3;4x1TBSATA2;AmsterdamAMS-01;€80.99
Supermicro SC846Intel Xeon E5620;32GBDDR3;24x1TBSATA2;AmsterdamAMS-01;€224.99
HP DL120G91x Intel E5-1620v3;32GBDDR4;4x2TBSATA2;AmsterdamAMS-01;€143.99
HP DL380pG82x Intel Xeon E5-2650;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€252.99
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;4x480GBSSD;AmsterdamAMS-01;€347.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€146.99
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;4x2TBSATA2;AmsterdamAMS-01;€257.99
HP DL380pG82x Intel Xeon E5-2620;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€192.99
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;AmsterdamAMS-01;€369.99
Dell R7202x Intel Xeon E5-2643;32GBDDR3;2x120GBSSD;AmsterdamAMS-01;€226.99
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;AmsterdamAMS-01;€321.99
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€259.99
Dell R9304x Intel Xeon E7-4830v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€879.99
Dell R9304x Intel Xeon E7-4850v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€1049.99
Dell R9304x Intel Xeon E7-4820v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€761.99
Dell R210-IIIntel G530;4GBDDR3;2x500GBSATA2;AmsterdamAMS-01;€40.99
Dell R210Intel Xeon X3440;16GBDDR3;2x2TBSATA2;AmsterdamAMS-01;€63.99
Dell R210-IIIntel Xeon E3-1220;16GBDDR3;2x1TBSATA2;AmsterdamAMS-01;€90.99
HP DL120G7Intel G850;4GBDDR3;4x1TBSATA2;AmsterdamAMS-01;€60.99
Supermicro SC846Intel Xeon E5620;32GBDDR3;24x1TBSATA2;AmsterdamAMS-01;€355.99
HP DL380eG82x Intel Xeon E5-2420;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€190.99
HP DL180G62x Intel Xeon E5645;32GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€160.99
Dell R210Intel Xeon X3440;16GBDDR3;2x2TBSATA2;AmsterdamAMS-01;€197.99
HP DL380pG82x Intel Xeon E5-2650;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€386.99
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;4x480GBSSD;AmsterdamAMS-01;€481.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€280.99
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;4x2TBSATA2;AmsterdamAMS-01;€391.99
HP DL380pG82x Intel Xeon E5-2620;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€326.99
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;AmsterdamAMS-01;€503.99
Dell R7202x Intel Xeon E5-2643;32GBDDR3;2x120GBSSD;AmsterdamAMS-01;€360.99
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;AmsterdamAMS-01;€455.99
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€393.99
Dell R9304x Intel Xeon E7-4830v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€1013.99
Dell R9304x Intel Xeon E7-4850v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€1183.99
Dell R9304x Intel Xeon E7-4820v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€895.99
Dell R210-IIIntel G530;4GBDDR3;2x500GBSATA2;AmsterdamAMS-01;€174.99
Dell R210-IIIntel Xeon E3-1220;16GBDDR3;2x1TBSATA2;AmsterdamAMS-01;€224.99
HP DL120G7Intel G850;4GBDDR3;4x1TBSATA2;AmsterdamAMS-01;€194.99
Supermicro SC846Intel Xeon E5620;32GBDDR3;24x1TBSATA2;AmsterdamAMS-01;€489.99
HP DL380eG82x Intel Xeon E5-2420;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€304.99
HP DL180G62x Intel Xeon E5645;32GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€294.99
Dell R720XD2x Intel Xeon E5-2620;8GBDDR3;4x1TBSATA2;AmsterdamAMS-01;€1907.99
Dell R720XD2x Intel Xeon E5-2650;8GBDDR3;4x1TBSATA2;AmsterdamAMS-01;€1973.99
HP DL380pG82x Intel Xeon E5-2620;8GBDDR3;4x1TBSATA2;AmsterdamAMS-01;€1907.99
HP DL380pG82x Intel Xeon E5-2650;8GBDDR3;4x1TBSATA2;AmsterdamAMS-01;€1967.99
HP DL120G7Intel G850;4GBDDR3;4x500GBSATA2;AmsterdamAMS-01;€1775.99
HP DL120G7Intel Xeon E3-1230;8GBDDR3;4x500GBSATA2;AmsterdamAMS-01;€1807.99
HP DL120G7Intel Xeon E3-1240;16GBDDR3;4x1TBSATA2;Washington D.C.WDC-01;$105.99
Dell R210Intel Xeon X3430;8GBDDR3;2x500GBSATA2;Washington D.C.WDC-01;$55.99
Dell R210-IIIntel Xeon E3-1270v2;16GBDDR3;2x1TBSATA2;San FranciscoSFO-12;$121.99
Dell R730XD2x Intel Xeon E5-2650V4;128GBDDR4;4x480GBSSD;SingaporeSIN-11;S$565.99
Dell R730XD2x Intel Xeon E5-2650v4;128GBDDR4;4x480GBSSD;Washington D.C.WDC-01;$431.99
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;Washington D.C.WDC-01;$380.99
Dell R730XD2x Intel Xeon E5-2630v3;128GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$360.99
HP DL180 G92x Intel Xeon E5-2650v3;128GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$413.99
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;San FranciscoSFO-12;$305.99
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;San FranciscoSFO-12;$303.99
HP DL180 G92x Intel Xeon E5-2630v3;128GBDDR4;2x120GBSSD;San FranciscoSFO-12;$362.99
Dell R730XD2x Intel Xeon E5-2630v3;128GBDDR4;2x120GBSSD;San FranciscoSFO-12;$360.99
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;San FranciscoSFO-12;$380.99
HP DL180 G92x Intel Xeon E5-2650v3;128GBDDR4;2x120GBSSD;San FranciscoSFO-12;$413.99
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;2x120GBSSD;San FranciscoSFO-12;$411.99
Dell R730XD2x Intel Xeon E5-2650v4;128GBDDR4;4x480GBSSD;San FranciscoSFO-12;$431.99
Dell R730XD2x Intel Xeon E5-2620v4;64GBDDR4;2x120GBSSD;San FranciscoSFO-12;$319.99
Dell R730XD2x Intel Xeon E5-2620v4;64GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$319.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x300GBSAS;DallasDAL-10;$170.99
Dell R5102x Intel Xeon E5620;8GBDDR3;2x1TBSATA2;DallasDAL-10;$165.99
HP DL380eG82x Intel Xeon E5-2420;64GBDDR3;8x2TBSATA2;DallasDAL-10;$199.99
HP DL380eG82x Intel Xeon E5-2420;16GBDDR3;8x3TBSATA2;DallasDAL-10;$206.99
IBM X3650M42x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;DallasDAL-10;$220.99
HP DL380pG82x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;DallasDAL-10;$225.99
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;DallasDAL-10;$297.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x300GBSAS;Washington D.C.WDC-01;$170.99
HP DL380eG82x Intel Xeon E5-2420;32GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$199.99
IBM X3650M42x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$220.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;2x1TBSATA2;SingaporeSIN-11;S$228.00
Supermicro SC846Intel Xeon E5620;32GBDDR3;24x1TBSATA2;DallasDAL-10;$421.99
DL20G9Intel Xeon E3-1270v5;16GBDDR4;2x1TBSATA2;San FranciscoSFO-12;$135.99
Huawei RH1288v22x Intel Xeon E5-2650;8GBDDR3;2x1TBSATA2;SingaporeSIN-11;S$269.99
Dell R730XD2x Intel Xeon E5-2620V4;64GBDDR4;4x2TBSATA2;SingaporeSIN-11;S$421.99
Huawei RH2288V22x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;SingaporeSIN-11;S$239.99
Dell R730XD2x Intel Xeon E5-2650v4;128GBDDR4;4x480GBSSD;FrankfurtFRA-10;€395.99
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€252.99
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;2x120GBSSD;FrankfurtFRA-10;€342.99
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;FrankfurtFRA-10;€364.99
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$437.99
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;DallasDAL-10;$303.99
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;2x120GBSSD;DallasDAL-10;$411.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x2TBSATA2;FrankfurtFRA-10;€99.00
IBM X36302x Intel Xeon E5620;32GBDDR3;8x2TBSATA2;FrankfurtFRA-10;€99.00
IBM X3650M42x Intel Xeon E5-2620;32GBDDR3;6x1TBSATA2;FrankfurtFRA-10;€124.99
Dell R720XD2x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;DallasDAL-10;$225.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x2TBSATA2;FrankfurtFRA-10;€187.99
HP DL380eG82x Intel Xeon E5-2420;32GBDDR3;8x300GBSAS;FrankfurtFRA-10;€176.99
HP DL380eG82x Intel Xeon E5-2420;8GBDDR3;4x1TBSATA2;Washington D.C.WDC-01;$183.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;2x1TBSATA2;Hong KongHKG-10;S$228.00
HP DL180G62x Intel Xeon E5620;8GBDDR3;4x1TBSATA2;Washington D.C.WDC-01;$175.99
Dell R720XD2x Intel Xeon E5-2640v2;64GBDDR3;8x1TBSATA2;FrankfurtFRA-10;€249.00
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;FrankfurtFRA-10;€316.99
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;DallasDAL-10;$380.99
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x960GBSSD;FrankfurtFRA-10;€362.99
Dell R730XD2x Intel Xeon E5-2650v4;128GBDDR4;4x960GBSSD;FrankfurtFRA-10;€471.99
HP DL180G62x Intel Xeon E5645;8GBDDR3;4x1TBSATA2;Washington D.C.WDC-01;$187.99
Dell R720XD2x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$225.99
Dell R730XD2x Intel Xeon E5-2650V3;128GBDDR4;2x120GBSSD;SingaporeSIN-11;S$545.99
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$303.99
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$411.99
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€254.99
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$305.99
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;DallasDAL-10;$305.99
HP DL160 G92x Intel Xeon E5-2630v3;128GBDDR4;2x120GBSSD;DallasDAL-10;$382.99
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;DallasDAL-10;$437.99
HP DL180 G92x Intel Xeon E5-2630v3;128GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$362.99
HP DL180 G92x Intel Xeon E5-2630v3;128GBDDR4;2x120GBSSD;FrankfurtFRA-10;€318.99
Dell R6302x Intel Xeon E5-2650v3;128GBDDR4;2x120GBSSD;SingaporeSIN-11;S$555.99
HP DL120G7Intel Xeon E3-1230;16GBDDR3;2x500GBSATA2;San FranciscoSFO-12;$105.99
HP DL120G7Intel Xeon E3-1230;16GBDDR3;2x500GBSATA2;Washington D.C.WDC-01;$105.99
HP DL120G7Intel Xeon E3-1270;16GBDDR3;2x500GBSATA2;DallasDAL-10;$110.99
HP DL120G7Intel Xeon E3-1230;16GBDDR3;2x500GBSATA2;DallasDAL-10;$105.99
Dell R210-IIIntel Xeon E3-1270v2;16GBDDR3;2x1TBSATA2;DallasDAL-10;$121.99
HP DL120G6Intel G6950;4GBDDR3;4x500GBSATA2;Washington D.C.WDC-01;$49.99
HP DL120G7Intel Xeon E3-1270;16GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$110.99
HP DL120G91x Intel E5-1650v3;64GBDDR4;2x120GBSSD;San FranciscoSFO-12;$263.99
HP DL120G91x Intel E5-1650v3;64GBDDR4;2x120GBSSD;DallasDAL-10;$263.99
HP DL120G9Intel Xeon E5-1650v3;64GBDDR4;2x120GBSSD;Hong KongHKG-10;S$368.99
HP DL120G9Intel Xeon E5-1650v3;64GBDDR4;2x120GBSSD;SingaporeSIN-11;S$368.99
Dell R9304x Intel Xeon E7-4820v3;64GBDDR4;2x120GBSSD;SingaporeSIN-11;S$1328.99
Dell R9304x Intel Xeon E7-4830v3;64GBDDR4;2x120GBSSD;SingaporeSIN-11;S$1516.99
Dell R9304x Intel Xeon E7-4850v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€1044.99
Dell R9304x Intel Xeon E7-4850v3;64GBDDR4;2x120GBSSD;SingaporeSIN-11;S$1787.99
Dell R9304x Intel Xeon E7-4820v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€756.99
Dell R9304x Intel Xeon E7-4830v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€874.99
DL20G9Intel Xeon E3-1270v5;16GBDDR4;2x1TBSATA2;Washington D.C.WDC-01;$135.99
HP DL120G91x Intel E5-1620v3;16GBDDR4;4x1TBSATA2;Washington D.C.WDC-01;$176.99
Dell R730XD2x Intel Xeon E5-2620v4;64GBDDR4;4x2TBSATA2;FrankfurtFRA-10;€204.99
HP DL120G6Intel G6950;4GBDDR3;4x500GBSATA2;Washington D.C.WDC-01;$43.99
HP DL20 G9Intel Xeon E3-1270v5;16GBDDR4;2x1TBSATA2;SingaporeSIN-11;S$208.00
HP DL20 G9Intel Xeon E3-1270v5;16GBDDR4;2x1TBSATA2;Hong KongHKG-10;S$208.00
Dell R210-IIIntel Xeon E3-1230v2;16GBDDR3;2x500GBSATA2;Washington D.C.WDC-01;$139.00
Supermicro SC846Intel Xeon E5620;32GBDDR3;24x1TBSATA2;Washington D.C.WDC-01;$421.99
Supermicro SC846Intel Xeon E5620;32GBDDR3;24x1TBSATA2;FrankfurtFRA-10;€350.99
HP DL120G7Intel Xeon E3-1270;16GBDDR3;4x1TBSATA2;FrankfurtFRA-10;€87.99
HP DL120G7Intel Xeon E3-1230;16GBDDR3;4x1TBSATA2;Washington D.C.WDC-01;$103.99
Supermicro SC8131x Intel E5-1650v2;64GBDDR3;2x120GBSSD;Washington D.C.WDC-01;$233.99
HP DL120G91x Intel E5-1650v3;64GBDDR4;4x2TBSATA2;FrankfurtFRA-10;€219.99
HP DL120G91x Intel E5-1650v3;64GBDDR4;4x2TBSATA2;Washington D.C.WDC-01;$275.99
DL20G9Intel Xeon E3-1270v5;16GBDDR4;2x1TBSATA2;Washington D.C.WDC-01;$135.99
HP DL120G7Intel Xeon E3-1240;16GBDDR3;4x1TBSATA2;Washington D.C.WDC-01;$105.99
HP DL120G91x Intel E5-1650v3;32GBDDR4;4x1TBSATA2;San FranciscoSFO-12;$239.99
HP DL120G6Intel Xeon X3440;8GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$69.99
DL20G9Intel Xeon E3-1270v5;16GBDDR4;2x1TBSATA2;San FranciscoSFO-12;$135.99
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;San FranciscoSFO-12;$437.99
HP DL120G6Intel Xeon X3440;8GBDDR3;2x240GBSSD;Washington D.C.WDC-01;$69.99
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;4x480GBSSD;Washington D.C.WDC-01;$399.99
HP DL380eG82x Intel Xeon E5-2420;32GBDDR3;8x2TBSATA2;FrankfurtFRA-10;€142.99
Dell R7202x Intel Xeon E5-2643;32GBDDR3;2x120GBSSD;FrankfurtFRA-10;€221.99
Dell R720XD2x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;FrankfurtFRA-10;€187.99
HP DL380eG82x Intel Xeon E5-2420;64GBDDR3;8x2TBSATA2;FrankfurtFRA-10;€165.99
HP DL380eG82x Intel Xeon E5-2420;16GBDDR3;8x3TBSATA2;FrankfurtFRA-10;€165.99
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;FrankfurtFRA-10;€247.99
HP DL380pG82x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$225.99
HP DL380pG82x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;San FranciscoSFO-12;$225.99
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;Washington D.C.WDC-01;$297.99
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;San FranciscoSFO-12;$297.99
HP DL380eG82x Intel Xeon E5-2420;64GBDDR3;8x2TBSATA2;San FranciscoSFO-12;$200.99
HP DL380eG82x Intel Xeon E5-2420;16GBDDR3;8x3TBSATA2;San FranciscoSFO-12;$200.99
IBM X3650M42x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;San FranciscoSFO-12;$220.99
Dell R5102x Intel Xeon E5504;4GBDDR3;4x1TBSATA2;Washington D.C.WDC-01;$104.99
Dell R5102x Intel Xeon E5620;8GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$165.99
HP DL120G7Intel G850;4GBDDR3;4x1TBSATA2;SingaporeSIN-11;S$119.99
Dell R6302x Intel Xeon E5-2630v4;64GBDDR4;2x240GBSSD;SingaporeSIN-11;S$489.99
Dell R6302x Intel Xeon E5-2630v4;64GBDDR4;2x240GBSSD;Hong KongHKG-10;S$489.99
Dell R730XD2x Intel Xeon E5-2620V4;64GBDDR4;4x2TBSATA2;Hong KongHKG-10;S$421.99
RH2288v32x Intel Xeon E5-2620V4;64GBDDR4;4x2TBSATA2;SingaporeSIN-11;S$319.99
RH2288v32x Intel Xeon E5-2650V4;128GBDDR4;4x480GBSSD;SingaporeSIN-11;S$429.99
Dell R210-IIIntel Xeon E3-1270v2;8GBDDR3;2x1TBSATA2;SingaporeSIN-11;S$199.99
HP DL120G7Intel G850;16GBDDR3;4x1TBSATA2;FrankfurtFRA-10;€49.99
Dell R6202x Intel Xeon E5-2620v2;8GBDDR3;2x1TBSATA2;SingaporeSIN-11;S$319.99
Dell R210-IIIntel Xeon E3-1270v2;8GBDDR3;2x1TBSATA2;Hong KongHKG-10;S$199.99
Dell R210-IIIntel Xeon E3-1230v2;16GBDDR3;2x500GBSATA2;FrankfurtFRA-10;€74.00
HP DL20G9Intel Xeon E3-1270v5;16GBDDR4;2x1TBSATA2;FrankfurtFRA-10;€112.99
HP DL120G7Intel Xeon E3-1230;16GBDDR3;4x1TBSATA2;FrankfurtFRA-10;€75.00
HP DL380eG82x Intel Xeon E5-2420;64GBDDR3;8x2TBSATA2;FrankfurtFRA-10;€142.99
HP DL120G7Intel Xeon E3-1230;16GBDDR3;2x500GBSATA2;Washington D.C.WDC-01;$235.59
IBM X3650M42x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$350.59
HP DL380pG82x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$355.59
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;Washington D.C.WDC-01;$427.59
IBM X3650M42x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;FrankfurtFRA-10;€295.99
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;FrankfurtFRA-10;€355.99
Dell R210-IIIntel Xeon E3-1270v2;16GBDDR3;2x1TBSATA2;FrankfurtFRA-10;€103.99
Dell R210-IIIntel Xeon E3-1270v2;16GBDDR3;2x1TBSATA2;San FranciscoSFO-12;$151.99
HP DL120G7Intel Xeon E3-1230;16GBDDR3;2x500GBSATA2;San FranciscoSFO-12;$135.99
